Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,VIP_Flag,Transaction_Velocity,Engagement,Transaction_Drift,Spend_Drift,Engagement_Drift,Behavioral_Risk_Score
Existing Customer,59,M,1,High School,Not_Disclosed,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,0,1.9166666666666667,0.5,1.4166666666666667,73.72826086956522,1.4166666666666667,-22.660144927536233
Existing Customer,63,M,1,Not_Disclosed,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,0,3.3333333333333335,0.7142857142857143,2.619047619047619,124.66666666666666,2.619047619047619,-38.37261904761905
Existing Customer,44,F,3,Uneducated,Single,Not_Disclosed,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,0,1.5,0.5294117647058824,0.9705882352941176,56.72549019607844,0.9705882352941176,-17.355882352941176
Existing Customer,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,0,3.1666666666666665,0.9047619047619048,2.261904761904762,62.20238095238095,2.261904761904762,-19.56547619047619
Existing Customer,53,M,3,Not_Disclosed,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,0,2.0833333333333335,0.7575757575757576,1.325757575757576,55.04545454545455,1.325757575757576,-16.993939393939392
Existing Customer,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,0,2.1666666666666665,0.5416666666666666,1.625,99.75,1.625,-30.449999999999996
Existing Customer,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,0,2.0,0.6666666666666666,1.3333333333333335,88.27777777777777,1.3333333333333335,-26.991666666666667
Existing Customer,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0,2.3333333333333335,0.7368421052631579,1.5964912280701755,80.4517543859649,1.5964912280701755,-24.72412280701754
Existing Customer,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,0,2.0,0.4897959183673469,1.510204081632653,81.23639455782313,1.510204081632653,-24.924999999999997
Existing Customer,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,0,3.5833333333333335,1.1944444444444444,2.3888888888888893,78.16666666666666,2.3888888888888893,-24.35555555555555
Existing Customer,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,0,3.0833333333333335,1.0277777777777777,2.055555555555556,104.27777777777777,2.055555555555556,-32.05555555555556
Existing Customer,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,0,1.8333333333333333,0.6111111111111112,1.222222222222222,53.66666666666667,1.222222222222222,-16.51388888888889
Existing Customer,57,F,1,Graduate,Not_Disclosed,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,0,2.3333333333333335,0.5714285714285714,1.761904761904762,92.12244897959184,1.761904761904762,-28.266496598639456
Attrited Customer,66,F,0,Doctorate,Married,Not_Disclosed,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,0,1.3333333333333333,0.2857142857142857,1.0476190476190474,46.095238095238095,1.0476190476190474,-14.147619047619047
Existing Customer,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,0,2.3333333333333335,0.6829268292682927,1.6504065040650406,65.3678861788618,1.6504065040650406,-20.220528455284555
Existing Customer,51,M,2,Not_Disclosed,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,0,2.3333333333333335,0.6363636363636364,1.6969696969696972,81.63636363636364,1.6969696969696972,-25.144696969696973
Existing Customer,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,0,2.75,0.7674418604651163,1.9825581395348837,105.49612403100775,1.9825581395348837,-32.39186046511628
Existing Customer,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,0,2.6666666666666665,0.8648648648648649,1.8018018018018016,98.87387387387389,1.8018018018018016,-30.332882882882885
Existing Customer,38,F,4,Graduate,Single,Not_Disclosed,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0,1.9166666666666667,0.8214285714285714,1.0952380952380953,49.61904761904761,1.0952380952380953,-15.248809523809522
Existing Customer,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,0,2.3333333333333335,0.9333333333333333,1.4000000000000001,72.19999999999999,1.4000000000000001,-22.169999999999995
Existing Customer,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,0,2.25,0.6,1.65,106.39444444444445,1.65,-32.528333333333336
Existing Customer,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,0,2.25,0.5192307692307693,1.7307692307692308,110.1923076923077,1.7307692307692308,-33.7
Existing Customer,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,0,2.25,0.675,1.575,70.99166666666667,1.575,-21.852500000000003
Existing Customer,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,0,3.3333333333333335,1.0,2.3333333333333335,66.5,2.3333333333333335,-20.858333333333334
Existing Customer,52,F,3,Not_Disclosed,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,0,2.5,0.7317073170731707,1.7682926829268293,110.6951219512195,1.7682926829268293,-33.84085365853658
Attrited Customer,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,0,1.5833333333333333,0.475,1.1083333333333334,41.125,1.1083333333333334,-12.705833333333334
Existing Customer,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0,3.1666666666666665,0.7037037037037037,2.462962962962963,126.12962962962962,2.462962962962963,-38.72407407407407
Existing Customer,49,M,2,Not_Disclosed,Married,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,0,2.9166666666666665,0.9722222222222222,1.9444444444444442,78.55555555555554,1.9444444444444442,-24.29444444444444
Attrited Customer,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,0,1.25,0.4166666666666667,0.8333333333333333,33.44444444444444,0.8333333333333333,-10.291666666666668
Existing Customer,49,F,4,Graduate,Not_Disclosed,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,0,2.6666666666666665,0.8888888888888888,1.7777777777777777,58.44444444444445,1.7777777777777777,-18.144444444444446
Existing Customer,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,0,3.3333333333333335,1.1111111111111112,2.2222222222222223,71.94444444444446,2.2222222222222223,-22.422222222222224
Existing Customer,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,0,2.4166666666666665,0.58,1.8366666666666664,90.18666666666667,1.8366666666666664,-27.740666666666666
Existing Customer,44,F,5,Graduate,Married,Not_Disclosed,Blue,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,0,2.0833333333333335,0.7142857142857143,1.369047619047619,74.42142857142858,1.369047619047619,-22.84904761904762
Existing Customer,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,0,2.25,0.7941176470588235,1.4558823529411766,62.98039215686274,1.4558823529411766,-19.37647058823529
Existing Customer,55,M,3,Not_Disclosed,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,0,2.75,0.7021276595744681,2.047872340425532,68.07624113475178,2.047872340425532,-21.192021276595746
Attrited Customer,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,0,1.25,0.42857142857142855,0.8214285714285714,37.840476190476195,0.8214285714285714,-11.580714285714288
Existing Customer,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,0,2.3333333333333335,0.8484848484848485,1.4848484848484849,69.7878787878788,1.4848484848484849,-21.455303030303032
Existing Customer,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,0,2.1666666666666665,0.8125,1.3541666666666665,66.45833333333333,1.3541666666666665,-20.379166666666663
Existing Customer,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,0,1.9166666666666667,0.5227272727272727,1.393939393939394,78.12121212121212,1.393939393939394,-23.943939393939395
Existing Customer,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,0,2.6666666666666665,0.8421052631578947,1.8245614035087718,73.72368421052632,1.8245614035087718,-22.8219298245614
Existing Customer,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,0,2.9166666666666665,0.6730769230769231,2.2435897435897436,86.73076923076923,2.2435897435897436,-26.841666666666665
Existing Customer,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,0,2.3333333333333335,1.4,0.9333333333333336,37.73333333333333,0.9333333333333336,-11.618333333333332
Existing Customer,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,0,1.4166666666666667,0.53125,0.8854166666666667,86.97916666666666,0.8854166666666667,-26.397916666666664
Existing Customer,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,0,1.25,0.39473684210526316,0.8552631578947368,47.723684210526315,0.8552631578947368,-14.609210526315788
Existing Customer,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,0,3.4166666666666665,0.9761904761904762,2.4404761904761902,92.26190476190476,2.4404761904761902,-28.6047619047619
Existing Customer,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,0,3.0,0.8571428571428571,2.142857142857143,91.66666666666669,2.142857142857143,-28.282142857142862
Existing Customer,54,M,1,Graduate,Not_Disclosed,$60K - $80K,Blue,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,0,1.75,0.4883720930232558,1.2616279069767442,75.45736434108528,1.2616279069767442,-23.09186046511628
Existing Customer,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,0,2.9166666666666665,0.9459459459459459,1.9707207207207205,78.490990990991,1.9707207207207205,-24.285585585585586
Existing Customer,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,0,2.0,0.6857142857142857,1.3142857142857143,73.43571428571428,1.3142857142857143,-22.481428571428573
Existing Customer,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,0,2.75,0.9166666666666666,1.8333333333333335,71.61111111111111,1.8333333333333335,-22.14166666666667
Existing Customer,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,0,1.9166666666666667,0.6388888888888888,1.277777777777778,61.777777777777786,1.277777777777778,-18.944444444444446
Existing Customer,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,0,4.75,1.9655172413793103,2.7844827586206895,114.26149425287355,2.7844827586206895,-35.29224137931033
Existing Customer,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,0,1.9166666666666667,0.7666666666666667,1.15,73.4,1.15,-22.455000000000002
Existing Customer,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,0,2.9166666666666665,0.9210526315789473,1.9956140350877192,76.06140350877193,1.9956140350877192,-23.541666666666668
Existing Customer,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,0,3.4166666666666665,1.1081081081081081,2.308558558558558,82.0382882882883,2.308558558558558,-25.43490990990991
Existing Customer,44,M,1,Not_Disclosed,Not_Disclosed,$120K +,Blue,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,0,2.4166666666666665,0.8055555555555556,1.611111111111111,89.05555555555557,1.611111111111111,-27.311111111111117
Attrited Customer,55,F,4,Not_Disclosed,Married,$40K - $60K,Blue,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,0,1.0,0.26666666666666666,0.7333333333333334,37.583333333333336,0.7333333333333334,-11.468333333333334
Existing Customer,59,F,1,Graduate,Married,Not_Disclosed,Blue,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,0,1.6666666666666667,0.38461538461538464,1.2820512820512822,68.46153846153845,1.2820512820512822,-20.976282051282052
Existing Customer,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,0,2.25,0.7714285714285715,1.4785714285714286,87.07142857142857,1.4785714285714286,-26.61285714285714
Existing Customer,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,0,2.9166666666666665,0.7446808510638298,2.1719858156028367,95.00886524822695,2.1719858156028367,-29.29645390070922
Existing Customer,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,0,2.5833333333333335,0.8857142857142857,1.6976190476190478,66.37142857142857,1.6976190476190478,-20.540476190476188
Existing Customer,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,0,2.6666666666666665,0.9142857142857143,1.7523809523809524,67.74047619047619,1.7523809523809524,-20.973095238095233
Existing Customer,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,0,1.1666666666666667,0.45161290322580644,0.7150537634408602,72.16935483870968,0.7150537634408602,-21.86182795698925
Existing Customer,57,M,2,Not_Disclosed,Married,$120K +,Blue,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,0,2.4166666666666665,0.6444444444444445,1.7722222222222221,92.64444444444445,1.7722222222222221,-28.427222222222223
Existing Customer,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333,0.0,0,1.75,0.5833333333333334,1.1666666666666665,70.88888888888889,1.1666666666666665,-21.68333333333333
Existing Customer,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062,0,2.9166666666666665,0.9210526315789473,1.9956140350877192,89.17543859649123,1.9956140350877192,-27.47587719298246
Existing Customer,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0,0,2.8333333333333335,0.9444444444444444,1.888888888888889,81.38888888888889,1.888888888888889,-25.07222222222222
Existing Customer,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933,0.765,0,2.4166666666666665,0.6904761904761905,1.726190476190476,76.54761904761905,1.726190476190476,-23.554761904761904
Existing Customer,45,F,3,Not_Disclosed,Married,Not_Disclosed,Blue,28,5,1,2,2535.0,2440,95.0,1.705,1312,20,1.222,0.963,0,1.6666666666666667,0.7142857142857143,0.9523809523809524,62.476190476190474,0.9523809523809524,-19.09880952380952
Existing Customer,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0,895,814.0,1.656,1673,32,0.882,0.524,0,2.6666666666666665,0.6153846153846154,2.051282051282051,107.24358974358974,2.051282051282051,-32.893589743589736
Existing Customer,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347,0,2.5,0.8571428571428571,1.6428571428571428,71.90238095238095,1.6428571428571428,-22.127857142857142
Existing Customer,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45,0,3.5,1.2,2.3,88.11190476190478,2.3,-27.278571428571436
Existing Customer,56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689.0,2250,7439.0,0.576,1158,19,0.727,0.232,0,1.5833333333333333,0.38,1.2033333333333331,73.34,1.2033333333333331,-22.43333333333333
Attrited Customer,47,M,2,Not_Disclosed,Married,$80K - $120K,Blue,37,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,0,1.5,0.4864864864864865,1.0135135135135136,47.072072072072075,1.0135135135135136,-14.452027027027029
Existing Customer,49,F,3,College,Single,Not_Disclosed,Blue,43,4,4,0,23032.0,1960,21072.0,0.619,1289,22,1.0,0.085,0,1.8333333333333333,0.5116279069767442,1.321705426356589,77.43992248062015,1.321705426356589,-23.66065891472868
Existing Customer,41,F,3,Not_Disclosed,Married,Not_Disclosed,Silver,34,5,3,3,34516.0,2053,32463.0,1.034,1487,26,0.733,0.059,0,2.1666666666666665,0.7647058823529411,1.4019607843137254,80.18137254901961,1.4019607843137254,-24.540196078431375
Existing Customer,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,1264,1676.0,0.562,1259,33,0.5,0.43,0,2.75,0.9705882352941176,1.7794117647058822,67.88725490196079,1.7794117647058822,-21.027941176470588
Existing Customer,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5,0.62,0,1.25,0.46875,0.78125,67.60416666666667,0.78125,-20.51875
Existing Customer,44,M,3,High School,Not_Disclosed,$60K - $80K,Blue,25,3,3,0,1862.0,0,1862.0,0.883,1226,34,0.789,0.0,0,2.8333333333333335,1.36,1.4733333333333334,53.12666666666667,1.4733333333333334,-16.452333333333335
Existing Customer,43,F,4,Post-Graduate,Married,Less than $40K,Blue,33,2,3,3,8358.0,926,7432.0,0.762,1566,37,0.542,0.111,0,3.0833333333333335,1.121212121212121,1.9621212121212124,83.04545454545455,1.9621212121212124,-25.62348484848485
Existing Customer,53,M,2,Post-Graduate,Single,$120K +,Blue,36,6,1,2,34516.0,931,33585.0,0.828,1022,21,1.1,0.027,0,1.75,0.5833333333333334,1.1666666666666665,56.777777777777786,1.1666666666666665,-17.475
Existing Customer,44,M,1,Uneducated,Married,$60K - $80K,Blue,36,5,2,3,14450.0,2440,12010.0,1.283,1235,30,0.667,0.169,0,2.5,0.8333333333333334,1.6666666666666665,68.61111111111111,1.6666666666666665,-21.2
Existing Customer,62,F,1,Not_Disclosed,Married,Less than $40K,Blue,56,6,0,0,1438.3,0,1438.3,0.813,1951,44,1.095,0.0,0,3.6666666666666665,0.7857142857142857,2.880952380952381,127.74404761904762,2.880952380952381,-39.47559523809524
Existing Customer,54,M,4,Not_Disclosed,Divorced,$120K +,Blue,36,6,3,2,33791.0,1960,31831.0,0.618,1047,31,0.824,0.058,0,2.5833333333333335,0.8611111111111112,1.7222222222222223,58.16666666666667,1.7222222222222223,-18.06388888888889
