Attrition_Flag,Customer_Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Revolving_Bal,Avg_Open_To_Buy,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio,VIP_Flag,Ticket_Size,Utilization,Engagement,Portfolio_Yield_Proxy,CLV_Score,Transaction_Velocity,Customer_Segment,Churn_Probability
0,42,M,5,Uneducated,Not_Disclosed,$120K +,Blue,31,5,3,2,6748.0,1467,5281.0,0.831,1201,42,0.68,0.217,0,28.59523809523809,0.217397747480735,1.3548387096774193,261.0946947243628,1980.902489626556,3.5,Dormant,0.0043800623972121
0,65,M,1,Not_Disclosed,Married,$40K - $60K,Blue,54,6,2,3,9095.0,1587,7508.0,1.433,1314,26,1.364,0.174,0,50.53846153846154,0.1744914788345244,0.4814814814814814,229.2818031885652,743.0616089426425,2.1666666666666665,Dormant,0.0010398584145563403
0,56,M,1,College,Single,$80K - $120K,Blue,36,3,6,0,11751.0,0,11751.0,3.397,1539,17,3.25,0.0,0,90.52941176470588,0.0,0.4722222222222222,0.0,726.75,1.4166666666666667,Dormant,0.040260645759526086
0,35,M,3,Graduate,Not_Disclosed,$60K - $80K,Blue,30,5,1,3,8547.0,1666,6881.0,1.163,1311,33,2.0,0.195,0,39.72727272727273,0.1949221949221949,1.1,255.5429975429976,1723.1972972972974,2.75,Dormant,0.010892904434890204
0,57,F,2,Graduate,Married,Less than $40K,Blue,48,5,2,2,2436.0,680,1756.0,1.19,1570,29,0.611,0.279,0,54.13793103448276,0.2791461412151067,0.6041666666666666,438.2594417077176,1213.3234126984123,2.4166666666666665,Dormant,0.005823461521199056
0,44,M,4,Not_Disclosed,Not_Disclosed,$80K - $120K,Blue,37,5,1,2,4234.0,972,3262.0,1.707,1348,27,1.7,0.23,0,49.92592592592592,0.2295701464336325,0.7297297297297297,309.4605573925366,1209.498244583743,2.25,Dormant,0.004513249642412808
0,48,M,4,Post-Graduate,Single,$80K - $120K,Blue,36,6,2,3,30367.0,2362,28005.0,1.708,1671,27,0.929,0.078,0,61.888888888888886,0.0777818026146804,0.75,129.97339216913096,1350.730044126848,2.25,Dormant,0.03635673415571246
0,41,M,3,Not_Disclosed,Married,$80K - $120K,Blue,34,4,4,1,13535.0,1291,12244.0,0.653,1028,21,1.625,0.095,0,48.95238095238095,0.095382342076099,0.6176470588235294,98.05304765422976,695.5033529629068,1.75,Dormant,0.031618279984523344
0,61,M,1,High School,Married,$40K - $60K,Blue,56,2,2,3,3193.0,2517,676.0,1.831,1336,30,1.143,0.788,0,44.53333333333333,0.7882868775446289,0.5357142857142857,1053.1512683996243,1279.9024652140845,2.5,Revolver,0.14881170435029317
0,45,F,2,Graduate,Married,Not_Disclosed,Blue,37,6,1,2,14470.0,1157,13313.0,0.966,1207,21,0.909,0.08,0,57.47619047619048,0.0799585348997926,0.5675675675675675,96.50995162404976,739.8299725433795,1.75,Dormant,0.0031036352553880106
0,47,M,1,Doctorate,Divorced,$60K - $80K,Blue,42,5,2,0,20979.0,1800,19179.0,0.906,1178,27,0.929,0.086,0,43.629629629629626,0.0858000858000858,0.6428571428571429,101.07250107250108,822.2608935466079,2.25,Dormant,0.0032644164254130373
1,62,F,0,Graduate,Married,Less than $40K,Blue,49,2,3,3,1438.3,0,1438.3,1.047,692,16,0.6,0.0,0,43.25,0.0,0.3265306122448979,0.0,225.95918367346937,1.3333333333333333,Dormant,0.9998814911304532
0,41,M,3,High School,Married,$40K - $60K,Blue,33,4,2,1,4470.0,680,3790.0,1.608,931,18,1.571,0.152,0,51.72222222222222,0.1521252796420581,0.5454545454545454,141.62863534675614,585.0701647345943,1.5,Dormant,0.8614132419036068
0,47,F,4,Not_Disclosed,Single,Less than $40K,Blue,36,3,3,2,2492.0,1560,932.0,0.573,1126,23,0.353,0.626,0,48.95652173913044,0.6260032102728732,0.6388888888888888,704.8796147672552,1169.7286427679685,1.9166666666666667,Revolver,0.013201628219367146
0,54,M,2,Not_Disclosed,Married,$80K - $120K,Blue,42,4,2,3,12217.0,0,12217.0,1.075,1110,21,0.75,0.0,0,52.85714285714285,0.0,0.5,0.0,555.0,1.75,Dormant,0.2691886966978521
0,41,F,3,Graduate,Single,Less than $40K,Blue,28,6,1,2,7768.0,1669,6099.0,0.797,1051,22,0.833,0.215,0,47.77272727272727,0.2148558187435633,0.7857142857142857,225.81346549948503,1003.2105800353096,1.8333333333333333,Dormant,0.007645061349498458
0,59,M,1,High School,Not_Disclosed,$40K - $60K,Blue,46,4,1,2,14784.0,1374,13410.0,0.921,1197,23,1.3,0.093,0,52.04347826086956,0.0929383116883117,0.5,111.2471590909091,654.1235795454546,1.9166666666666667,Dormant,0.0008370912166505142
0,63,M,1,Not_Disclosed,Married,$60K - $80K,Blue,56,3,3,2,10215.0,1010,9205.0,0.843,1904,40,1.0,0.099,0,47.6,0.0988742046010768,0.7142857142857143,188.2564855604504,1494.4689182574648,3.333333333333333,Dormant,0.15125193186608785
0,44,F,3,Uneducated,Single,Not_Disclosed,Blue,34,5,2,2,10100.0,0,10100.0,0.525,1052,18,1.571,0.0,0,58.44444444444444,0.0,0.5294117647058824,0.0,556.9411764705883,1.5,Dormant,0.1799055389029485
0,47,M,4,High School,Married,$40K - $60K,Blue,42,6,0,0,4785.0,1362,3423.0,0.739,1045,38,0.9,0.285,0,27.5,0.2846394984326019,0.9047619047619048,297.4482758620689,1214.5960591133005,3.1666666666666665,Dormant,0.000958667804879799
0,53,M,3,Not_Disclosed,Married,$80K - $120K,Blue,33,3,2,3,2753.0,1811,942.0,0.977,1038,25,2.571,0.658,0,41.52,0.6578278241917908,0.7575757575757576,682.8252815110789,1303.6555162962718,2.083333333333333,Revolver,0.0324738810415519
0,53,M,2,Uneducated,Married,$60K - $80K,Blue,48,2,5,1,2451.0,1690,761.0,1.323,1596,26,1.6,0.69,0,61.38461538461539,0.689514483884129,0.5416666666666666,1100.46511627907,1460.5852713178292,2.1666666666666665,Revolver,0.08741978701748526
0,41,M,4,Graduate,Married,$60K - $80K,Blue,36,4,1,2,8923.0,2517,6406.0,1.726,1589,24,1.667,0.282,0,66.20833333333333,0.2820800179311891,0.6666666666666666,448.22514849265946,1358.1500989951062,2.0,Dormant,0.006215616901371368
0,53,F,2,College,Married,Less than $40K,Blue,38,5,2,3,2650.0,1490,1160.0,1.75,1411,28,1.0,0.562,0,50.392857142857146,0.5622641509433962,0.7368421052631579,793.354716981132,1624.26137040715,2.333333333333333,Dormant,0.01343374775117743
0,58,M,0,Graduate,Married,$80K - $120K,Blue,49,6,2,2,12555.0,1696,10859.0,0.519,1291,24,0.714,0.135,0,53.79166666666666,0.1350856232576662,0.4897959183673469,174.39553962564716,717.7447541023578,2.0,Dormant,0.001304848236099646
0,55,F,1,College,Single,Less than $40K,Blue,36,4,2,1,3520.0,1914,1606.0,0.51,1407,43,0.483,0.544,0,32.72093023255814,0.54375,1.1944444444444444,765.05625,2594.4005208333333,3.583333333333333,Dormant,0.007877657234335504
0,55,F,3,Graduate,Married,Less than $40K,Blue,36,6,2,3,3035.0,2298,737.0,1.724,1877,37,1.176,0.757,0,50.729729729729726,0.757166392092257,1.0277777777777777,1421.2013179571663,3389.8180212337543,3.083333333333333,Revolver,0.04623805901436638
0,42,F,4,High School,Married,Less than $40K,Gold,36,2,3,3,15433.0,0,15433.0,0.865,966,22,1.2,0.0,0,43.90909090909091,0.0,0.6111111111111112,0.0,590.3333333333334,1.8333333333333333,Dormant,0.9711343010928399
0,57,F,1,Graduate,Not_Disclosed,$40K - $60K,Blue,49,3,3,2,3672.0,886,2786.0,1.32,1464,28,0.556,0.241,0,52.285714285714285,0.2412854030501089,0.5714285714285714,353.24183006535947,1038.423902894491,2.333333333333333,Dormant,0.019930273784803436
1,66,F,0,Doctorate,Married,Not_Disclosed,Blue,56,5,4,3,7882.0,605,7277.0,1.052,704,16,0.143,0.077,0,44.0,0.0767571682314133,0.2857142857142857,54.037046434915,216.58201326711853,1.3333333333333333,Dormant,0.9941598421704017
0,45,M,3,Graduate,Single,$80K - $120K,Blue,41,2,2,2,32426.0,578,31848.0,1.042,1109,28,0.474,0.018,0,39.60714285714285,0.0178252019983963,0.6829268292682927,19.76814901622155,770.866052986688,2.333333333333333,Dormant,0.9689476861478918
0,51,M,2,Not_Disclosed,Married,$40K - $60K,Blue,44,4,1,0,6205.0,2204,4001.0,0.803,1347,28,0.556,0.355,0,48.10714285714285,0.3551974214343271,0.6363636363636364,478.4509266720386,1161.6505897003883,2.333333333333333,Dormant,0.0005767274247775663
0,50,F,1,College,Single,$40K - $60K,Silver,43,3,2,3,17304.0,2517,14787.0,1.449,1756,33,1.2,0.145,0,53.21212121212121,0.1454576976421636,0.7674418604651163,255.4237170596394,1543.6507596039091,2.75,Dormant,0.8852428819032838
0,49,M,3,High School,Married,$60K - $80K,Blue,37,5,2,1,3906.0,0,3906.0,1.214,1756,32,1.0,0.0,0,54.875,0.0,0.8648648648648649,0.0,1518.7027027027027,2.6666666666666665,Dormant,0.7121750615440674
0,38,F,4,Graduate,Single,Not_Disclosed,Blue,28,2,3,3,9830.0,2055,7775.0,0.977,1042,23,0.917,0.209,0,45.30434782608695,0.2090539165818921,0.8214285714285714,217.83418107833165,1034.863791600058,1.9166666666666667,Dormant,0.23260614641122815
0,49,M,4,Uneducated,Single,$80K - $120K,Blue,30,3,2,3,34516.0,0,34516.0,1.621,1444,28,1.333,0.0,0,51.57142857142857,0.0,0.9333333333333332,0.0,1347.7333333333331,2.333333333333333,Dormant,0.2889061595579078
0,56,M,2,Doctorate,Married,$60K - $80K,Blue,45,6,2,0,2283.0,1430,853.0,2.316,1741,27,0.588,0.626,0,64.48148148148148,0.6263688129653964,0.6,1090.5081033727552,1698.904862023653,2.25,Revolver,0.00030916506016953567
0,59,M,1,Doctorate,Married,$40K - $60K,Blue,52,3,2,2,2548.0,2020,528.0,2.357,1719,27,1.7,0.793,0,63.66666666666666,0.792778649921507,0.5192307692307693,1362.7864992150703,1600.1583745924406,2.25,Revolver,0.02093905915175763
0,46,M,3,High School,Married,$80K - $120K,Blue,40,4,3,3,19458.0,1435,18023.0,0.787,1217,27,0.8,0.074,0,45.07407407407408,0.073748586699558,0.675,89.75203001336212,882.0576202590194,2.25,Dormant,0.1678850544366091
0,52,M,1,College,Single,$80K - $120K,Blue,40,5,1,1,4745.0,1227,3518.0,0.624,1140,40,0.6,0.259,0,28.5,0.2585879873551106,1.0,294.7903055848261,1434.7903055848262,3.333333333333333,Dormant,0.004315288282218409
0,52,F,3,Not_Disclosed,Married,Less than $40K,Blue,41,6,3,2,2622.0,1549,1073.0,1.321,1878,30,1.143,0.591,0,62.6,0.5907704042715485,0.7317073170731707,1109.466819221968,2185.951331138025,2.5,Dormant,0.03810174254002334
1,54,F,1,Graduate,Married,Less than $40K,Blue,40,2,3,1,1438.3,808,630.3,0.997,705,19,0.9,0.562,0,37.10526315789474,0.561774316901898,0.475,396.0508934158381,522.999174372523,1.5833333333333333,Dormant,0.9989722816616883
0,66,F,0,High School,Married,Less than $40K,Blue,54,3,4,2,3171.0,2179,992.0,1.224,1946,38,1.923,0.687,0,51.21052631578947,0.6871649321980448,0.7037037037037037,1337.222958057395,2310.4161556700187,3.1666666666666665,Revolver,0.17254004423361194
0,49,M,2,Not_Disclosed,Married,$120K +,Blue,36,4,2,0,19763.0,2517,17246.0,0.664,1414,35,0.25,0.127,0,40.4,0.1273592065981885,0.9722222222222222,180.08591812983855,1549.805753737343,2.9166666666666665,Dormant,0.014133435054092033
1,56,M,2,Graduate,Married,$120K +,Blue,36,1,3,3,15769.0,0,15769.0,1.041,602,15,0.364,0.0,0,40.13333333333333,0.0,0.4166666666666667,0.0,250.8333333333333,1.25,Dormant,0.9999291175934849
0,49,F,4,Graduate,Not_Disclosed,Less than $40K,Blue,36,6,4,2,3298.0,2200,1098.0,0.678,1052,32,0.6,0.667,0,32.875,0.667070952092177,0.8888888888888888,701.7586416009702,1558.8965703119734,2.6666666666666665,Revolver,0.01435679833933683
0,49,F,3,Graduate,Single,Less than $40K,Blue,36,2,2,0,2802.0,2363,439.0,0.75,1295,40,0.6,0.843,0,32.375,0.8433261955745895,1.1111111111111112,1092.1074232690935,2652.341581410104,3.333333333333333,Revolver,0.05336844733506117
0,56,M,2,Uneducated,Married,$40K - $60K,Blue,50,4,2,3,4458.0,1880,2578.0,1.107,1424,29,1.417,0.422,0,49.10344827586207,0.4217137729923733,0.58,600.5204127411396,1174.2218393898609,2.4166666666666665,Dormant,0.004136709577554783
0,44,F,5,Graduate,Married,Not_Disclosed,Blue,35,4,1,2,6273.0,978,5295.0,2.275,1359,25,1.083,0.156,0,54.36,0.1559062649450024,0.7142857142857143,211.87661406025825,1122.054724328756,2.083333333333333,Dormant,0.0019631276132903355
0,42,M,2,High School,Single,$60K - $80K,Blue,34,4,4,3,3336.0,1753,1583.0,0.69,1168,27,1.25,0.525,0,43.25925925925926,0.5254796163069544,0.7941176470588235,613.7601918465227,1414.9272111722385,2.25,Dormant,0.07564546580882818
0,55,M,3,Not_Disclosed,Married,$80K - $120K,Blue,47,4,2,3,3436.0,2016,1420.0,0.901,1097,33,0.833,0.587,0,33.24242424242424,0.5867287543655413,0.7021276595744681,643.6414435389988,1222.152502910361,2.75,Dormant,0.01487672704194507
1,48,M,2,Graduate,Married,$60K - $80K,Silver,35,2,4,4,34516.0,0,34516.0,0.763,691,15,0.5,0.0,0,46.06666666666667,0.0,0.4285714285714285,0.0,296.1428571428571,1.25,Dormant,0.9998994466372767
0,39,M,1,High School,Divorced,$60K - $80K,Blue,33,5,3,3,5926.0,1251,4675.0,0.944,1316,28,1.154,0.211,0,47.0,0.2111036112048599,0.8484848484848485,277.8123523455957,1352.3256322932327,2.333333333333333,Dormant,0.03805694566694999
0,44,M,4,Post-Graduate,Single,$120K +,Blue,32,2,4,2,23957.0,2102,21855.0,0.997,1276,26,0.733,0.088,0,49.07692307692308,0.087740535125433,0.8125,111.95692282005258,1127.7149997912927,2.1666666666666665,Dormant,0.08000669984802664
0,53,M,2,High School,Single,$120K +,Blue,44,4,2,2,14734.0,1634,13100.0,0.989,1289,23,0.917,0.111,0,56.04347826086956,0.1108999592778607,0.5227272727272727,142.9500475091625,748.5193430161531,1.9166666666666667,Dormant,0.0033298299869176664
0,51,M,4,Uneducated,Single,$80K - $120K,Silver,38,4,1,4,34516.0,1515,33001.0,0.592,1293,32,0.6,0.044,0,40.40625,0.0438926874492988,0.8421052631578947,56.75324487194344,1136.6343114711103,2.6666666666666665,Dormant,0.042176446459170784
0,57,M,2,College,Married,$60K - $80K,Blue,52,5,3,3,6584.0,1817,4767.0,0.62,1353,35,0.667,0.276,0,38.65714285714286,0.2759720534629404,0.6730769230769231,373.39018833535846,1161.9933959949528,2.9166666666666665,Dormant,0.005886727049078845
0,44,F,2,Uneducated,Single,Less than $40K,Blue,20,6,3,3,2084.0,1468,616.0,1.004,1132,28,0.556,0.704,0,40.42857142857143,0.7044145873320538,1.4,797.3973128598849,2701.1562380038386,2.333333333333333,Revolver,0.05737665816678978
0,49,M,2,Graduate,Married,$60K - $80K,Blue,32,2,2,2,1687.0,1107,580.0,1.715,1670,17,2.4,0.656,0,98.23529411764706,0.6561944279786603,0.53125,1095.8446947243629,1469.3549940723176,1.4166666666666667,Revolver,0.14757195433489326
0,50,M,2,Doctorate,Married,$80K - $120K,Blue,38,6,2,2,25300.0,1330,23970.0,1.072,837,15,2.0,0.053,0,55.8,0.0525691699604743,0.3947368421052631,44.000395256917,347.7633139172041,1.25,Dormant,0.8696053292715845
0,51,M,4,Graduate,Single,$120K +,Blue,42,3,2,3,34516.0,1763,32753.0,1.266,1550,41,1.05,0.051,0,37.80487804878049,0.051077761038359,0.9761904761904762,79.17052960945648,1590.3807550949457,3.4166666666666665,Dormant,0.1669949362252444
0,55,F,2,Graduate,Married,Less than $40K,Blue,42,5,3,3,2216.0,1034,1182.0,0.758,1540,36,0.286,0.467,0,42.77777777777778,0.4666064981949459,0.8571428571428571,718.5740072202167,1935.9205776173285,3.0,Dormant,0.012029246595261832
0,54,M,1,Graduate,Not_Disclosed,$60K - $80K,Blue,43,4,2,3,2910.0,2030,880.0,0.769,1256,21,0.4,0.698,0,59.80952380952381,0.697594501718213,0.4883720930232558,876.1786941580756,1041.2965715655716,1.75,Revolver,0.0029904068437534236
0,42,M,5,Uneducated,Married,$80K - $120K,Blue,37,6,2,2,22913.0,1528,21385.0,0.414,1394,35,0.522,0.067,0,39.82857142857143,0.0666870335617335,0.945945945945946,92.96172478505652,1406.5854153372156,2.9166666666666665,Dormant,0.004855827604918054
0,44,M,1,College,Single,$60K - $80K,Blue,35,3,3,3,24312.0,1932,22380.0,1.312,1341,24,1.182,0.079,0,55.875,0.0794669299111549,0.6857142857142857,106.56515301085884,992.6161049217318,2.0,Dormant,0.03122636353209702
0,53,M,2,Graduate,Single,$80K - $120K,Blue,36,5,3,2,5272.0,1515,3757.0,0.857,1289,33,0.435,0.287,0,39.06060606060606,0.2873672230652503,0.9166666666666666,370.4163505311077,1521.1316546535154,2.75,Dormant,0.015730670168620155
0,44,F,4,Graduate,Single,Less than $40K,Blue,36,6,4,2,7000.0,2517,4483.0,0.475,1112,23,1.875,0.36,0,48.34782608695652,0.3595714285714286,0.6388888888888888,399.8434285714286,965.8999682539682,1.9166666666666667,Dormant,0.012590373119043504
0,37,F,3,Uneducated,Single,Less than $40K,Blue,29,4,4,2,7038.0,1801,5237.0,0.751,2339,57,0.966,0.256,0,41.03508771929825,0.25589656152316,1.9655172413793105,598.5420574026712,5773.789561101802,4.75,Dormant,0.015183326097009498
0,49,M,3,Graduate,Divorced,$60K - $80K,Blue,30,6,1,2,2536.0,1823,713.0,0.703,1468,23,0.353,0.719,0,63.82608695652174,0.7188485804416404,0.7666666666666667,1055.269716088328,1934.506782334385,1.9166666666666667,Revolver,0.00045695350401682157
0,47,M,2,Graduate,Married,$80K - $120K,Blue,38,6,3,2,28904.0,1899,27005.0,0.85,1334,35,0.4,0.066,0,38.114285714285714,0.0657002491004705,0.9210526315789472,87.64413230002768,1309.4090692237096,2.9166666666666665,Dormant,0.03109787772633897
0,47,M,3,Graduate,Married,$60K - $80K,Blue,37,4,4,0,8567.0,1695,6872.0,1.242,1457,41,1.412,0.198,0,35.53658536585366,0.1978522236488852,1.108108108108108,288.2706898564258,1933.9486022733367,3.4166666666666665,Dormant,0.00536213265305728
0,44,M,1,Not_Disclosed,Not_Disclosed,$120K +,Blue,36,6,2,2,34516.0,1533,32983.0,0.924,1603,29,0.526,0.044,0,55.27586206896552,0.0444141847259242,0.8055555555555556,71.19593811565652,1348.6578390376123,2.4166666666666665,Dormant,0.009116288053403018
1,55,F,4,Not_Disclosed,Married,$40K - $60K,Blue,45,2,4,3,2158.0,0,2158.0,0.585,615,12,0.714,0.0,0,51.25,0.0,0.2666666666666666,0.0,164.0,1.0,Dormant,0.9997304900906496
0,59,F,1,Graduate,Married,Not_Disclosed,Blue,52,2,3,3,10133.0,1417,8716.0,0.383,1068,20,0.818,0.14,0,53.4,0.1398401263199447,0.3846153846153846,149.349254909701,468.2112518883465,1.6666666666666667,Dormant,0.8713532555781793
0,53,M,1,Graduate,Divorced,$80K - $120K,Blue,35,5,4,2,34516.0,1219,33297.0,1.129,1590,27,2.0,0.035,0,58.888888888888886,0.0353169544559045,0.7714285714285715,56.15395758488817,1269.8901958511997,2.25,Dormant,0.02472716633920061
0,52,M,2,Graduate,Married,$60K - $80K,Blue,47,5,3,0,3085.0,1910,1175.0,0.921,1531,35,0.667,0.619,0,43.74285714285714,0.6191247974068071,0.7446808510638298,947.8800648298218,1845.974516362633,2.9166666666666665,Revolver,0.0011999660707757438
0,53,M,2,High School,Single,$120K +,Blue,35,4,2,1,19040.0,2056,16984.0,0.607,1212,31,0.722,0.108,0,39.096774193548384,0.1079831932773109,0.8857142857142857,130.87563025210085,1189.4041296518608,2.583333333333333,Dormant,0.02813177656651729
0,43,F,3,Uneducated,Single,Less than $40K,Blue,35,5,2,3,4026.0,0,4026.0,0.483,1237,32,0.6,0.0,0,38.65625,0.0,0.9142857142857144,0.0,1130.9714285714283,2.6666666666666665,Dormant,0.25129790846996136
0,44,M,3,High School,Single,$60K - $80K,Blue,31,4,3,1,12756.0,837,11919.0,1.932,1413,14,1.8,0.066,0,100.92857142857144,0.0656161806208842,0.4516129032258064,92.7156632173095,680.0006220981398,1.1666666666666667,Dormant,0.0034780218709594356
0,57,M,2,Not_Disclosed,Married,$120K +,Blue,45,5,3,3,5266.0,0,5266.0,1.702,1516,29,1.636,0.0,0,52.27586206896552,0.0,0.6444444444444445,0.0,976.977777777778,2.4166666666666665,Dormant,0.09478495660802176
0,51,F,2,High School,Single,Less than $40K,Blue,36,3,2,2,9930.0,0,9930.0,0.731,1276,21,1.333,0.0,0,60.76190476190476,0.0,0.5833333333333334,0.0,744.3333333333334,1.75,Dormant,0.058763601472273476
0,49,M,4,High School,Single,$80K - $120K,Blue,38,4,3,0,31302.0,1953,29349.0,0.875,1564,35,2.182,0.062,0,44.68571428571428,0.062392179413456,0.9210526315789472,97.5813686026452,1530.4038921340157,2.9166666666666665,Dormant,0.003445541462911582
0,45,M,1,Graduate,Single,$40K - $60K,Blue,36,4,4,3,6576.0,0,6576.0,0.579,1465,34,0.619,0.0,0,43.088235294117645,0.0,0.9444444444444444,0.0,1383.611111111111,2.833333333333333,Dormant,0.4879660340976827
0,53,M,0,Graduate,Single,$80K - $120K,Blue,42,5,4,1,2664.0,2037,627.0,0.85,1286,29,0.933,0.765,0,44.3448275862069,0.7646396396396397,0.6904761904761905,983.3265765765766,1566.9159695409696,2.4166666666666665,Revolver,0.004491645109677519
0,45,F,3,Not_Disclosed,Married,Not_Disclosed,Blue,28,5,1,2,2535.0,2440,95.0,1.705,1312,20,1.222,0.963,0,65.6,0.9625246548323472,0.7142857142857143,1262.8323471400397,1839.1659622428847,1.6666666666666667,Revolver,0.009420850852922635
0,64,M,1,Graduate,Married,Less than $40K,Blue,52,6,4,3,1709.0,895,814.0,1.656,1673,32,0.882,0.524,0,52.28125,0.5236980690462258,0.6153846153846154,876.1468695143359,1568.705765854976,2.6666666666666665,Dormant,0.014159028202425154
0,45,M,3,Graduate,Married,$40K - $60K,Blue,35,5,4,2,3454.0,1200,2254.0,0.597,1313,30,0.304,0.347,0,43.766666666666666,0.3474232773595831,0.8571428571428571,456.1667631731326,1516.4286541483991,2.5,Dormant,0.031072476355051448
0,53,M,3,Doctorate,Married,$40K - $60K,Blue,35,5,3,2,3789.0,1706,2083.0,1.047,1609,42,0.68,0.45,0,38.30952380952381,0.4502507257851676,1.2,724.4534177883347,2800.1441013460017,3.5,Dormant,0.012968010223872221
0,56,M,3,College,Married,$120K +,Blue,50,3,2,0,9689.0,2250,7439.0,0.576,1158,19,0.727,0.232,0,60.94736842105263,0.2322221075446382,0.38,268.91320053669114,542.2270162039425,1.5833333333333333,Dormant,0.0015029730125544418
1,47,M,2,Not_Disclosed,Married,$80K - $120K,Blue,37,2,3,3,5449.0,1628,3821.0,0.696,836,18,0.385,0.299,0,46.44444444444444,0.2987704165902,0.4864864864864865,249.77206826940724,528.2134386175495,1.5,Dormant,0.9986237597948651
0,49,F,3,College,Single,Not_Disclosed,Blue,43,4,4,0,23032.0,1960,21072.0,0.619,1289,22,1.0,0.085,0,58.59090909090909,0.0850989927058006,0.5116279069767442,109.692601597777,715.6101682593278,1.8333333333333333,Dormant,0.0017179082050982515
0,41,F,3,Not_Disclosed,Married,Not_Disclosed,Silver,34,5,3,3,34516.0,2053,32463.0,1.034,1487,26,0.733,0.059,0,57.19230769230769,0.0594796616062116,0.7647058823529411,88.44625680843667,1204.753019912334,2.1666666666666665,Dormant,0.0420409313095284
0,53,M,3,Graduate,Married,$120K +,Blue,34,6,2,2,2940.0,1264,1676.0,0.562,1259,33,0.5,0.43,0,38.15151515151515,0.4299319727891156,0.9705882352941176,541.2843537414966,1747.3348139255704,2.75,Dormant,0.002517301837188601
0,44,F,2,Graduate,Single,Less than $40K,Blue,32,3,3,3,3031.0,1879,1152.0,0.788,1298,15,1.5,0.62,0,86.53333333333333,0.6199274166941603,0.46875,804.66578686902,985.6245875948532,1.25,Revolver,0.008981338860146836
0,44,M,3,High School,Not_Disclosed,$60K - $80K,Blue,25,3,3,0,1862.0,0,1862.0,0.883,1226,34,0.789,0.0,0,36.05882352941177,0.0,1.36,0.0,1667.36,2.833333333333333,Dormant,0.20116023570408306
